54,23,1,38,41,28,50
39,46,4,24,56,23,49
4,11,60,17,38,58,55
53,59,44,38,6,41,16
60,22,38,55,44,24,43
6,9,8,46,30,27,31
13,28,6,20,51,9,41
20,56,32,33,22,17,10
15,52,19,8,44,58,16
28,17,42,58,12,48,43
49,4,21,58,41,10,50
19,56,24,29,45,1,36
1,19,52,3,38,46,29
52,26,44,2,21,37,43
48,2,37,12,44,33,15
1,12,3,46,23,7,18
19,13,30,10,50,40,24
55,8,40,56,34,45,1
56,17,26,34,13,35,18
17,19,6,4,13,28,29
55,17,10,25,49,37,42
7,44,53,47,32,15,14
47,28,8,35,53,2,41
38,11,36,18,7,21,17
13,52,54,43,37,6,49
4,35,8,46,57,5,52
56,47,18,36,19,16,6
16,13,50,33,56,58,48
17,60,43,22,5,50,1
3,56,57,53,10,5,36
19,52,5,23,26,50,53
45,30,37,15,6,1,53
47,41,10,27,40,54,33
7,48,39,23,42,1,28
48,39,46,8,38,57,31
35,22,20,40,55,36,16
59,26,53,23,49,22,5
25,48,20,43,11,41,9
57,29,1,46,58,2,41
12,49,39,3,18,10,1
50,43,56,59,32,35,42
13,55,51,47,1,28,53
12,57,47,26,60,30,29
18,47,24,11,52,58,10
20,57,45,35,8,48,52
1,12,17,5,15,53,10
8,9,50,56,49,2,42
57,4,23,22,17,15,40
47,36,17,53,42,18,21
24,48,45,44,21,46,32
26,60,18,58,27,24,5
4,6,47,45,16,60,48
53,21,1,60,3,11,27
9,14,12,32,37,54,10
37,9,43,47,19,1,15
42,14,49,19,26,21,60
30,29,46,42,12,6,22
39,26,23,53,22,55,57
59,4,17,5,14,47,57
12,5,31,17,27,16,14
40,14,25,21,47,10,20
49,15,4,38,42,5,46
37,8,18,2,35,50,56
1,50,35,51,10,32,6
54,8,44,29,53,39,37
31,48,24,58,34,53,45
38,31,24,51,20,25,55
7,53,6,42,9,3,12
10,59,43,28,29,14,35
52,37,23,1,10,35,28
7,40,28,60,45,15,51
25,2,53,6,9,11,35
28,7,11,59,12,29,54
9,33,28,1,56,54,41
17,5,22,48,14,23,1
4,8,20,31,19,6,29
26,35,60,11,55,59,7
55,8,25,46,30,37,16
46,15,7,42,32,9,31
5,38,51,24,44,18,7
10,37,33,21,5,39,35
38,41,57,15,9,22,26
3,42,14,37,17,26,10
59,48,16,27,45,15,52
15,49,56,53,7,9,38
35,5,34,7,3,9,23
6,21,19,44,58,23,15
46,21,32,8,12,1,60
31,45,52,35,25,2,29
60,10,54,33,5,34,20
46,7,29,9,12,34,54
45,56,53,49,58,50,20
17,45,59,47,23,49,46
7,55,22,46,54,39,58
33,35,4,45,10,11,23
16,60,46,2,40,36,37
41,44,14,1,56,43,15
23,4,7,53,31,27,47
35,46,18,45,38,43,8
14,24,12,46,16,9,39
21,18,30,35,43,19,55
25,43,56,5,1,4,28
23,45,20,30,48,13,8
49,9,28,37,59,55,18
38,2,39,7,59,23,8
21,56,45,54,14,22,20
40,43,12,47,57,38,27
3,35,57,29,18,9,46
10,48,21,57,20,17,36
52,24,3,59,49,12,55
44,21,6,8,13,15,30
18,7,41,5,53,25,60
28,30,14,7,42,44,12
21,35,12,53,16,28,34
7,56,17,18,35,51,6
29,51,16,60,31,49,54
57,56,14,53,21,7,60
7,25,35,12,18,60,40
47,48,37,44,57,18,1
59,31,18,27,28,50,29
40,19,5,22,39,50,46
42,56,18,40,33,16,50
35,53,9,51,58,19,18
1,2,52,55,37,51,58
19,46,59,28,54,35,26
2,34,7,57,28,24,9
29,1,27,10,28,2,3
59,47,55,19,7,13,4
46,28,26,11,40,5,27
37,10,21,48,38,54,33
49,5,48,52,13,19,44
26,35,30,12,54,46,48
50,37,60,21,29,11,20
59,18,6,22,29,19,42
23,49,22,39,24,55,5
26,53,58,20,2,6,59
48,20,18,38,1,13,45
37,13,54,16,17,32,1
